WEO Country Code,ISO,Country,Region,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
144,SWE,Sweden,Scandinavia,Population,Persons,Millions,Source: National Statistics Office. National Statistics Office Latest actual data: 2020 Primary domestic currency: Swedish krona Data last updated: 08/2021,8.883,8.909,8.941,8.976,9.011,9.048,9.113,9.183,9.256,9.341,9.416,9.483,9.556,9.645,9.747,9.851,9.995,10.12,10.23,10.328,10.379,10.613,2020
144,SWE,Sweden,Scandinavia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable Fiscal assumptions: Fiscal estimates for 2020 are based on preliminary information on the fall 2020 budget bill. The impact of cyclical developments on the fiscal accounts is calculated using the 2014 Organisation for Economic Co-operation and Development elasticity to take into account output and employment gaps. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. Nominal Value debt valuation is consistent with Eurostat's definition Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;. Net debt is defined as gross debt minus the asset holdings of currency and deposits, debt securities, and loans. Primary domestic currency: Swedish krona Data last updated: 08/2021","2,408.15","2,503.73","2,598.34","2,703.55","2,830.19","2,931.09","3,121.67","3,320.28","3,412.25","3,341.17","3,573.58","3,727.91","3,743.09","3,822.67","3,992.73","4,260.47","4,415.03","4,625.09","4,828.31","5,049.62","4,983.36","5,297.57",2020
146,CHE,Switzerland,Europe,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Swiss franc Data last updated: 09/2021",472.751,485.25,484.12,489.348,503.696,523.147,556.524,592.865,617.426,607.284,628.752,640.876,649.236,661.098,673.099,675.779,685.277,693.969,719.809,727.932,705.893,736.649,2020
146,CHE,Switzerland,Europe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.926,287.536,310.611,363.382,405.064,420.139,443.854,493.903,570.059,558.093,602.885,721.673,692.382,713.232,734.703,702.195,695.434,704.758,736.089,732.492,751.877,810.83,2020
146,CHE,Switzerland,Europe,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","65,989.80","67,414.57","66,719.96","66,905.66","68,399.77","70,552.58","74,611.05","78,953.90","81,315.12","78,847.56","80,754.19","81,432.77","81,613.53","82,236.31","82,690.30","82,031.96","82,295.75","82,419.16","84,843.13","85,188.11","82,023.40","84,959.89",2020
146,CHE,Switzerland,Europe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","39,073.98","39,946.66","42,807.41","49,683.01","55,006.03","56,660.70","59,505.88","65,774.86","75,076.97","72,460.75","77,431.92","91,699.23","87,037.30","88,721.54","90,258.36","85,238.52","83,515.54","83,700.47","86,762.02","85,721.73","87,366.60","93,515.48",2020
146,CHE,Switzerland,Europe,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",1.489,0.332,0.88,0.56,1.289,0.975,0.629,2.022,0.719,0.296,0.535,-0.586,-0.435,0.082,-0.307,-1.276,0.013,0.856,0.691,0.152,-0.827,0.882,2020
146,CHE,Switzerland,Europe,Unemployment rate,Percent of total labor force,,Source: State Secretariat for Economic Affairs (SECO) Latest actual data: 2020 Employment type: National definition Primary domestic currency: Swiss franc Data last updated: 09/2021,1.824,1.703,2.546,3.691,3.879,3.763,3.332,2.766,2.577,3.701,3.516,2.843,2.905,3.158,3.044,3.178,3.323,3.088,2.547,2.306,3.143,3.131,2020
146,CHE,Switzerland,Europe,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Swiss franc Data last updated: 09/2021,7.164,7.198,7.256,7.314,7.364,7.415,7.459,7.509,7.593,7.702,7.786,7.87,7.955,8.039,8.14,8.238,8.327,8.42,8.484,8.545,8.606,8.671,2020
146,CHE,Switzerland,Europe,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2019 Fiscal assumptions: The authorities' announced discretionary stimulus as reflected in the fiscal projections for 2020 and 2021 is permitted within the context of the debt brake rule in the event of  exceptional circumstances.  Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds; Other;. Other refers to Cantons. Valuation of public debt: Nominal value Primary domestic currency: Swiss franc Data last updated: 09/2021,472.751,485.25,484.12,489.348,503.696,523.147,556.524,592.865,617.426,607.284,628.752,640.876,649.236,661.098,673.099,675.779,685.277,693.969,719.809,727.932,705.893,736.649,2019
